😀 grin
😂 joy
🤣 rofl
😊 smile
😇 blessed
🥰 love
😍 heart_eyes
🤩 star_struck
😘 kissing
😗 kissing
😚 kissing
😙 kissing
😋 yummy
😛 tongue
😜 tongue_wink
🤪 goofy
😝 tongue_squint
🤑 money
🤗 hug
🤭 giggle
🤫 shush
🤔 thinking
🤐 zipper
🤨 stern
😐 neutral
😑 expressionless
😶 no_mouth
😏 smirk
😒 unamused
🙄 eye_roll
😬 grimace
🤥 lying
😌 relieved
😔 pensive
😪 sleepy
🤤 drool
😴 sleeping
😷 sick
🤒 fever
🤕 hurt
🤢 sick
🤮 vomiting
🤧 sneezing
🥵 hot
🥶 cold
🥴 dizzy
😵 knocked_out
🤯 exploding_head
🤠 cowboy
🥳 partying
🥸 disguised
😎 cool
🤓 nerd
🧐 monocle
😕 confused
😟 worried
🙁 frown
☹️ frown
😮惊讶
😯 surprised
😲 shocked
😳 flushed
🥺 pleading
😦 anxious
😧 panic
😨 fearful
😰 sad_sweat
😥 sad
😢 crying
😭 bawling
😱 screaming
😖 distress
😣 anguish
😞 disappointed
😓 sad_sweat
😩 weary
😫 tired
🥱 yawning
😤 angry
😡 angry
😠 annoyed
🤬 cursing
👍 thumbs_up
👎 thumbs_down
👏 clap
🙌 raised_hands
👐 open_hands
🤲 palms_up
🤝 handshake
✌️ peace
🤞 crossed_fingers
🤟 love_you
🤘 rock
🤙 call
👈 left
👉 right
👆 up
👇 down
☝️ up
✋ raised_hand
🤚 raised_back
🖐️ hand
✊ fist
🖖 vulcan
👌 ok
🤏 pinching
✍️ writing
🤳 selfie
💪 muscle
🦾 mechanical_arm
🦿 mechanical_leg
🦵 leg
🦶 foot
👂 ear
👃 nose
🧠 brain
🫀 heart
🫁 lungs
🦷 tooth
🦴 bone
👀 eyes
👁️ eye
👅 tongue
👄 lips
🩸 blood
👶 baby
👧 girl
🧒 child
👦 boy
👩 woman
🧑 person
👨 man
👩‍🦱 woman_curly
🧑‍🦱 person_curly
👨‍🦱 man_curly
👩‍🦰 woman_red
🧑‍🦰 person_red
👨‍🦰 man_red
🧔 beard
👱 woman_blonde
🧑 person_blonde
👱 man_blonde
👩‍🦳 woman_white
🧑‍🦳 person_white
👨‍🦳 man_white
🦱 curly
🦰 red
🦳 white
🦲 bald
🧔‍♀️ woman_beard
🧔‍♂️ man_beard
👵 grandmother
🧓 person_elderly
👴 grandfather
🙍 person_frowning
🙍‍♀️ woman_frowning
🙍‍♂️ man_frowning
🙎 person_pouting
🙎‍♀️ woman_pouting
🙎‍♂️ man_pouting
🙅 person_gesturing_no
🙅‍♀️ woman_gesturing_no
🙅‍♂️ man_gesturing_no
🙆 person_gesturing_ok
🙆‍♀️ woman_gesturing_ok
🙆‍♂️ man_gesturing_ok
💁 person_tipping_hand
💁‍♀️ woman_tipping_hand
💁‍♂️ man_tipping_hand
🙋 person_raising_hand
🙋‍♀️ woman_raising_hand
🙋‍♂️ man_raising_hand
🧏 person_deaf
🧏‍♀️ woman_deaf
🧏‍♂️ man_deaf
🙇 person_bowing
🙇‍♀️ woman_bowing
🙇‍♂️ man_bowing
🤦 person_facepalm
🤦‍♀️ woman_facepalm
🤦‍♂️ man_facepalm
🤷 person_shrugging
🤷‍♀️ woman_shrugging
🤷‍♂️ man_shrugging
👨‍⚕️ health_worker
👩‍⚕️ health_worker
👨‍🎓 student
👩‍🎓 student
👨‍🏫 teacher
👩‍🏫 teacher
👨‍⚖️ judge
👩‍⚖️ judge
👨‍🌾 farmer
👩‍🌾 farmer
👨‍🍳 cook
👩‍🍳 cook
👨‍🔧 mechanic
👩‍🔧 mechanic
👨‍🏭 factory_worker
👩‍🏭 factory_worker
👨‍💼 office_worker
👩‍💼 office_worker
👨‍🔬 scientist
👩‍🔬 scientist
👨‍💻 technologist
👩‍💻 technologist
👨‍🎤 singer
👩‍🎤 singer
👨‍🎨 artist
👩‍🎨 artist
👨‍✈️ pilot
👩‍✈️ pilot
👨‍🚀 astronaut
👩‍🚀 astronaut
👨‍🚒 firefighter
👩‍🚒 firefighter
👮 police_officer
👮‍♀️ police_officer
👮‍♂️ police_officer
🕵 detective
🕵️‍♀️ detective
🕵️‍♂️ detective
💂 guard
💂‍♀️ guard
💂‍♂️ guard
👷 construction_worker
👷‍♀️ construction_worker
👷‍♂️ construction_worker
🤴 prince
👸 princess
👳 person_turban
👳‍♀️ woman_turban
👳‍♂️ man_turban
👲 person_with_skullcap
🧕 woman_with_headscarf
🤵 person_in_tuxedo
🤵‍♀️ woman_in_tuxedo
🤵‍♂️ man_in_tuxedo
👰 bride
🤰 pregnant
🤱 breastfeeding
👩‍🍼 feeding
🧑‍🍼 feeding
👨‍🍼 feeding
👼 angel
🎅 santa
🤶 mrs_claus
🧙 mage
🧙‍♀️ witch
🧙‍♂️ wizard
🧚 fairy
🧚‍♀️ fairy
🧚‍♂️ fairy
🧛 vampire
🧛‍♀️ vampire
🧛‍♂️ vampire
🧜 merperson
🧜‍♀️ mermaid
🧜‍♂️ merman
🧝 elf
🧝‍♀️ elf
🧝‍♂️ elf
🧞 genie
🧞‍♀️ genie
🧞‍♂️ genie
🧟 zombie
🧟‍♀️ zombie
🧟‍♂️ zombie
🧌 troll
🧒 child
👦 boy
👧 girl
🧓 person_elderly
👴 grandfather
👵 grandmother
💆 person_massage
💆‍♀️ woman_massage
